id,ignore_abundance,signature,database_name,output,ksize,sequence_to_compare,database
J11_B003573_S95_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/J11_B003573_S95.signature,tabula-muris-k33-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k33-protein/J11_B003573_S95_ignore-abundance=True.csv,33,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k33-protein/tabula-muris-k33-protein/
J11_B003573_S95_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/J11_B003573_S95.signature,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/J11_B003573_S95_ignore-abundance=True.csv,51,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/
J8_B003528_S224_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/J8_B003528_S224.signature,tabula-muris-k21-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k21-protein/J8_B003528_S224_ignore-abundance=True.csv,21,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k21-protein/tabula-muris-k21-protein/
J8_B003528_S224_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/J8_B003528_S224.signature,tabula-muris-k27-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k27-protein/J8_B003528_S224_ignore-abundance=True.csv,27,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k27-protein/tabula-muris-k27-protein/
J8_B003528_S224_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/J8_B003528_S224.signature,tabula-muris-k33-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k33-protein/J8_B003528_S224_ignore-abundance=True.csv,33,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k33-protein/tabula-muris-k33-protein/
J8_B003528_S224_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/J8_B003528_S224.signature,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/J8_B003528_S224_ignore-abundance=True.csv,51,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/
K7_B002073_S103_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/K7_B002073_S103.signature,tabula-muris-k21-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k21-protein/K7_B002073_S103_ignore-abundance=True.csv,21,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k21-protein/tabula-muris-k21-protein/
K7_B002073_S103_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/K7_B002073_S103.signature,tabula-muris-k27-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k27-protein/K7_B002073_S103_ignore-abundance=True.csv,27,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k27-protein/tabula-muris-k27-protein/
K7_B002073_S103_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/K7_B002073_S103.signature,tabula-muris-k33-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k33-protein/K7_B002073_S103_ignore-abundance=True.csv,33,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k33-protein/tabula-muris-k33-protein/
K7_B002073_S103_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/K7_B002073_S103.signature,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/K7_B002073_S103_ignore-abundance=True.csv,51,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/
L16_B003588_S16_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/L16_B003588_S16.signature,tabula-muris-k21-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k21-protein/L16_B003588_S16_ignore-abundance=True.csv,21,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k21-protein/tabula-muris-k21-protein/
L16_B003588_S16_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/L16_B003588_S16.signature,tabula-muris-k27-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k27-protein/L16_B003588_S16_ignore-abundance=True.csv,27,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k27-protein/tabula-muris-k27-protein/
L16_B003588_S16_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/L16_B003588_S16.signature,tabula-muris-k33-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k33-protein/L16_B003588_S16_ignore-abundance=True.csv,33,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k33-protein/tabula-muris-k33-protein/
L16_B003588_S16_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/L16_B003588_S16.signature,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/L16_B003588_S16_ignore-abundance=True.csv,51,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/
